item_id,brand,department,group_stocks,name_stocks,full_price,discount_price,"""size""",quantity,size_range_type,"""style""",gender_id,gender,season_id,season,barcode,sku,store_barcode
23814100,12 STOREEZ,,,Textured cotton mini dress,1649.0,1649.0,L,2,12 Storeez Women Clothing Standard,125440,249,,83844203,SS24,2023814100214,125440,2112544000007.0
23828841,12 STOREEZ,,,Leather sandals,1209.0,1209.0,38,2,SHOES WOMEN'S IT,127334,249,,83844203,SS24,2023828841257,127334,4620209534197.0
23828849,12 STOREEZ,,,Polka-dot chiffon blouse,1055.0,1055.0,XXS,2,12 Storeez Women Clothing Standard,124842,249,,83844203,SS24,2023828849178,124842,2112484200055.0
23828845,12 STOREEZ,,,Leather sandals,1209.0,1209.0,40,2,SHOES WOMEN'S IT,112553,249,,83844203,SS24,2023828845293,125531,4620209532452.0
23828843,12 STOREEZ,,,Polka-dot chiffon skirt,835.0,835.0,XXS,2,12 Storeez Women Clothing Standard,124843,249,,83844203,SS24,2023828843176,124843,2112484300052.0
23828843,12 STOREEZ,,,Polka-dot chiffon skirt,835.0,835.0,S,2,12 Storeez Women Clothing Standard,124843,249,,83844203,SS24,2023828843190,124843,2112484300021.0
23828848,12 STOREEZ,,,Mini skirt,605.0,605.0,XS,2,12 Storeez Women Clothing Standard,125966,249,,83844203,SS24,2023828848188,125966,2112596600040.0
23829206,12 STOREEZ,,,Maxi dress,835.0,835.0,XS,2,12 Storeez Women Clothing Standard,112507,249,,83844203,SS24,2023829206185,125071,2112507100041.0
23829209,12 STOREEZ,,,Sheer knit top,439.0,439.0,L,2,12 Storeez Women Clothing Standard,125770,249,,83844203,SS24,2023829209216,125770,2112577000005.0
23829209,12 STOREEZ,,,Sheer knit top,439.0,439.0,M,2,12 Storeez Women Clothing Standard,125770,249,,83844203,SS24,2023829209209,125770,2112577000012.0
23829208,12 STOREEZ,,,Slim fit T-shirt,255.0,255.0,M,2,12 Storeez Women Clothing Standard,124092,249,,83844203,SS24,2023829208202,124092,2112409200016.0
23829208,12 STOREEZ,,,Slim fit T-shirt,255.0,255.0,XL,2,12 Storeez Women Clothing Standard,124092,249,,83844203,SS24,2023829208226,124092,2112409200030.0
23828951,12 STOREEZ,,,pointelle-knit wide-leg trousers,889.0,889.0,XS,2,12 Storeez Women Clothing Standard,125780,249,,83844203,SS24,2023828951185,125780,2112578000042.0
23829331,12 STOREEZ,,,open-knit maxi dress,889.0,889.0,M,2,12 Storeez Women Clothing Standard,125776,249,,83844203,SS24,2023829331207,125776,2112577600014.0
